,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
964,5,7,1,0,5.91,5.59,15.5,1.14,6.6,20.0,676.0,1297.0,0.521,75.0,0.457,0.327,0.667,12.6,28.8,41.3,2,15.3,10.62,70.9,106.1,0.514,20.08,11.78,71.7,113.4,0.52,-4.779999999999999,-1.16,-0.7999999999999972,-7.300000000000013,-0.0060000000000000045,2
965,5,2,0,1,4.26,5.66,18.2,1.52,8.3,23.0,758.0,1483.0,0.511,82.0,0.46,0.364,0.741,14.1,28.4,42.5,7,20.08,11.78,71.7,113.4,0.52,15.3,10.62,70.9,106.1,0.514,4.779999999999999,1.16,0.7999999999999972,7.300000000000013,0.0060000000000000045,2
966,5,9,1,0,5.16,6.71,15.3,1.17,8.0,23.0,658.0,1206.0,0.546,81.8,0.474,0.35100000000000003,0.685,11.7,26.3,38.0,4,15.79,8.5,72.2,109.5,0.532,18.43,2.59,69.7,118.2,0.57,-2.640000000000001,5.91,2.5,-8.700000000000003,-0.037999999999999916,3
967,5,4,0,1,3.71,6.44,15.7,1.39,9.1,24.0,740.0,1259.0,0.588,84.5,0.503,0.374,0.722,11.1,28.9,39.9,9,18.43,2.59,69.7,118.2,0.57,15.79,8.5,72.2,109.5,0.532,2.640000000000001,-5.91,-2.5,8.700000000000003,0.037999999999999916,3
968,4,3,1,1,3.17,6.26,14.8,1.62,9.1,25.0,623.0,1135.0,0.5489999999999999,74.5,0.47100000000000003,0.369,0.659,8.6,24.7,33.3,7,19.03,9.41,65.7,111.0,0.545,15.3,10.62,70.9,106.1,0.514,3.73,-1.2099999999999989,-5.200000000000003,4.900000000000006,0.031000000000000024,3
969,4,7,0,0,5.91,5.59,15.5,1.14,6.6,20.0,676.0,1297.0,0.521,75.0,0.457,0.327,0.667,12.6,28.8,41.3,3,15.3,10.62,70.9,106.1,0.514,19.03,9.41,65.7,111.0,0.545,-3.73,1.2099999999999989,5.200000000000003,-4.900000000000006,-0.031000000000000024,3
970,6,9,0,0,5.16,6.71,15.3,1.17,8.0,23.0,658.0,1206.0,0.546,81.8,0.474,0.35100000000000003,0.685,11.7,26.3,38.0,3,15.79,8.5,72.2,109.5,0.532,19.03,9.41,65.7,111.0,0.545,-3.240000000000002,-0.91,6.5,-1.5,-0.013000000000000013,4
971,6,3,1,1,3.17,6.26,14.8,1.62,9.1,25.0,623.0,1135.0,0.5489999999999999,74.5,0.47100000000000003,0.369,0.659,8.6,24.7,33.3,9,19.03,9.41,65.7,111.0,0.545,15.79,8.5,72.2,109.5,0.532,3.240000000000002,0.91,-6.5,1.5,0.013000000000000013,4
972,15,1,0,1,3.73,6.79,13.7,1.6,7.4,19.0,582.0,1165.0,0.5,67.5,0.461,0.39,0.758,8.4,24.3,32.7,16,22.21,9.07,60.6,110.4,0.527,-2.02,-3.84,69.2,105.6,0.531,24.23,12.91,-8.600000000000001,4.800000000000012,-0.0040000000000000036,1
973,15,16,1,0,2.5,7.53,15.4,1.28,10.2,26.0,540.0,1099.0,0.491,73.9,0.445,0.387,0.649,9.9,24.9,34.8,1,-2.02,-3.84,69.2,105.6,0.531,22.21,9.07,60.6,110.4,0.527,-24.23,-12.91,8.600000000000001,-4.800000000000012,0.0040000000000000036,1
974,1,8,0,1,2.66,5.66,18.0,1.61,10.4,28.0,651.0,1093.0,0.596,84.3,0.4970000000000001,0.376,0.747,7.3,29.0,36.3,9,16.35,8.1,72.8,113.8,0.575,12.84,8.74,66.6,106.4,0.525,3.5100000000000016,-0.6400000000000006,6.200000000000002,7.3999999999999915,0.04999999999999993,1
975,1,9,1,0,3.0,7.79,14.3,1.25,6.9,20.0,625.0,1145.0,0.546,72.4,0.47200000000000003,0.344,0.743,8.2,22.4,30.6,8,12.84,8.74,66.6,106.4,0.525,16.35,8.1,72.8,113.8,0.575,-3.5100000000000016,0.6400000000000006,-6.200000000000002,-7.3999999999999915,-0.04999999999999993,1
976,7,5,1,1,4.85,5.61,13.5,1.03,5.4,15.0,717.0,1411.0,0.508,76.7,0.469,0.358,0.693,12.1,26.7,38.8,12,17.24,10.73,69.8,109.6,0.518,11.02,2.57,65.3,115.7,0.574,6.219999999999999,8.16,4.5,-6.1000000000000085,-0.05599999999999994,1
977,7,12,0,0,1.9,4.81,17.1,1.8,10.8,28.0,520.0,907.0,0.573,77.0,0.486,0.39299999999999996,0.794,6.9,25.9,32.8,5,11.02,2.57,65.3,115.7,0.574,17.24,10.73,69.8,109.6,0.518,-6.219999999999999,-8.16,-4.5,6.1000000000000085,0.05599999999999994,1
