,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted
57,1065,2,4,1,Kansas,2,1,1,57,1993,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.5539999999999999,75.3,0.48700000000000004,0.35200000000000004,0.67,1993,10.4,28.1,38.5,6,Kansas,57,Kansas,22.3,10.88,0.565,1993,12.79,7.26,0.509,9.510000000000002,3.620000000000001,0.05599999999999994
58,1066,2,1,2,Indiana,1,0,1,58,1993,Indiana,4.33,5.59,13.0,0.99,5.4,17.0,543.0,1076.0,0.505,72.4,0.451,0.324,0.6829999999999999,1993,11.3,26.3,37.6,2,Indiana,58,Indiana,25.84,11.09,0.57,1993,22.3,10.88,0.565,3.539999999999999,0.20999999999999908,0.0050000000000000044
59,1067,2,1,2,Kansas,2,1,0,59,1993,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.5539999999999999,75.3,0.48700000000000004,0.35200000000000004,0.67,1993,10.4,28.1,38.5,1,Kansas,59,Kansas,22.3,10.88,0.565,1993,25.84,11.09,0.57,-3.539999999999999,-0.20999999999999908,-0.0050000000000000044
60,1068,1,15,1,Kentucky,1,1,1,60,1993,Kentucky,5.26,5.19,13.7,1.09,4.8,15.0,567.0,1115.0,0.509,74.9,0.461,0.327,0.7909999999999999,1993,9.7,27.7,37.4,16,Kentucky,60,Kentucky,26.91,9.23,0.558,1993,-5.61,-8.28,0.52,32.52,17.509999999999998,0.038000000000000034
61,1069,1,15,1,Rider,16,0,0,61,1993,Rider,2.48,6.59,13.2,0.94,6.3,20.0,517.0,1044.0,0.495,71.7,0.436,0.321,0.65,1993,11.2,27.1,38.3,1,Rider,61,Rider,-5.61,-8.28,0.52,1993,26.91,9.23,0.558,-32.52,-17.509999999999998,-0.038000000000000034
62,1070,8,1,1,Utah,8,1,1,62,1993,Utah,2.7,5.78,14.3,1.07,7.0,21.0,474.0,913.0,0.519,70.9,0.447,0.331,0.727,1993,9.7,26.4,36.1,9,Utah,62,Utah,13.34,2.27,0.547,1993,9.74,9.06,0.492,3.5999999999999996,-6.790000000000001,0.05500000000000005
63,1071,8,1,1,Pitt,9,0,0,63,1993,Pittsburgh,3.46,7.71,12.7,1.08,5.3,18.0,494.0,1073.0,0.46,65.5,0.406,0.292,0.718,1993,11.9,22.5,34.4,8,Pittsburgh,63,Pittsburgh,9.74,9.06,0.492,1993,13.34,2.27,0.547,-3.5999999999999996,6.790000000000001,-0.05500000000000005
64,1072,5,7,1,Wake Forest,5,1,1,64,1993,Wake Forest,2.88,4.92,12.2,0.85,6.4,19.0,454.0,973.0,0.467,71.5,0.423,0.337,0.7440000000000001,1993,10.3,27.7,38.0,12,Wake Forest,64,Wake Forest,16.82,9.32,0.544,1993,6.63,-3.06,0.54,10.190000000000001,12.38,0.0040000000000000036
65,1073,5,7,1,Chattanooga,12,0,0,65,1993,Chattanooga,1.45,4.72,14.3,1.19,8.7,25.0,512.0,979.0,0.523,73.0,0.452,0.354,0.7170000000000001,1993,9.4,25.9,35.3,5,Chattanooga,65,Chattanooga,6.63,-3.06,0.54,1993,16.82,9.32,0.544,-10.190000000000001,-12.38,-0.0040000000000000036
66,1074,4,9,1,Iowa,4,1,1,66,1993,Iowa,3.7,6.48,17.3,1.43,7.9,23.0,527.0,1019.0,0.517,78.5,0.455,0.35100000000000003,0.741,1993,11.4,26.0,37.5,13,Iowa,66,Iowa,19.75,8.14,0.5,1993,7.66,-5.08,0.566,12.09,13.22,-0.06599999999999995
